# Device/Package xc7v2000tfhg1761 8/18/2011 15:46:50                                                                                                   

!Pin  Pin_Name                      Memory_Byte_Group  Bank  VCCAUX_Group  Super_Logic_Region  I/O_Type  No-Connect
AY37  IO_L15N_T2_DQS_ADV_B_15       2                  15    1             1                   HP        NA
BA37  IO_L16P_T2_A28_15             2                  15    1             1                   HP        NA
BB37  IO_L16N_T2_A27_15             2                  15    1             1                   HP        NA
AW38  IO_L17P_T2_A26_15             2                  15    1             1                   HP        NA
AY38  IO_L17N_T2_A25_15             2                  15    1             1                   HP        NA
BB38  IO_L18P_T2_A24_15             2                  15    1             1                   HP        NA
BB39  IO_L18N_T2_A23_15             2                  15    1             1                   HP        NA
BA39  IO_L19P_T3_A22_15             3                  15    1             1                   HP        NA
BA40  IO_L19N_T3_A21_VREF_15        3                  15    1             1                   HP        NA
AT41  IO_L20P_T3_A20_15             3                  15    1             1                   HP        NA
AU42  IO_L20N_T3_A19_15             3                  15    1             1                   HP        NA
AY42  IO_L21P_T3_DQS_15             3                  15    1             1                   HP        NA
BA42  IO_L21N_T3_DQS_A18_15         3                  15    1             1                   HP        NA
AU41  IO_L22P_T3_A17_15             3                  15    1             1                   HP        NA
AV41  IO_L22N_T3_A16_15             3                  15    1             1                   HP        NA
BA41  IO_L23P_T3_FOE_B_15           3                  15    1             1                   HP        NA
BB41  IO_L23N_T3_FWE_B_15           3                  15    1             1                   HP        NA
AW41  IO_L24P_T3_RS1_15             3                  15    1             1                   HP        NA
AW42  IO_L24N_T3_RS0_15             3                  15    1             1                   HP        NA
AU37  IO_25_VRP_15                  NA                 15    1             1                   HP        NA
Y34   IO_0_VRN_16                   NA                 16    1             1                   HP        NA
AF35  IO_L1P_T0_16                  0                  16    1             1                   HP        NA
AF36  IO_L1N_T0_16                  0                  16    1             1                   HP        NA
AE37  IO_L2P_T0_16                  0                  16    1             1                   HP        NA
AF37  IO_L2N_T0_16                  0                  16    1             1                   HP        NA
AF34  IO_L3P_T0_DQS_16              0                  16    1             1                   HP        NA
AG34  IO_L3N_T0_DQS_16              0                  16    1             1                   HP        NA
AD36  IO_L4P_T0_16                  0                  16    1             1                   HP        NA
AD37  IO_L4N_T0_16                  0                  16    1             1                   HP        NA
AC35  IO_L5P_T0_16                  0                  16    1             1                   HP        NA
AC36  IO_L5N_T0_16                  0                  16    1             1                   HP        NA
AG36  IO_L6P_T0_16                  0                  16    1             1                   HP        NA
AH36  IO_L6N_T0_VREF_16             0                  16    1             1                   HP        NA
Y37   IO_L7P_T1_16                  1                  16    1             1                   HP        NA
AA37  IO_L7N_T1_16                  1                  16    1             1                   HP        NA
Y35   IO_L8P_T1_16                  1                  16    1             1                   HP        NA
AA36  IO_L8N_T1_16                  1                  16    1             1                   HP        NA
