# Device/Package xc7vx690tffg1761 12/21/2011 15:15:51                                                                                                   

!Pin  Pin_Name                      Memory_Byte_Group  Bank  VCCAUX_Group  Super_Logic_Region  I/O_Type  No-Connect
BA37  IO_L16P_T2_A28_15             2                  15    1             NA                  HP        NA
BB37  IO_L16N_T2_A27_15             2                  15    1             NA                  HP        NA
AW38  IO_L17P_T2_A26_15             2                  15    1             NA                  HP        NA
AY38  IO_L17N_T2_A25_15             2                  15    1             NA                  HP        NA
BB38  IO_L18P_T2_A24_15             2                  15    1             NA                  HP        NA
BB39  IO_L18N_T2_A23_15             2                  15    1             NA                  HP        NA
BA39  IO_L19P_T3_A22_15             3                  15    1             NA                  HP        NA
BA40  IO_L19N_T3_A21_VREF_15        3                  15    1             NA                  HP        NA
AT41  IO_L20P_T3_A20_15             3                  15    1             NA                  HP        NA
AU42  IO_L20N_T3_A19_15             3                  15    1             NA                  HP        NA
AY42  IO_L21P_T3_DQS_15             3                  15    1             NA                  HP        NA
BA42  IO_L21N_T3_DQS_A18_15         3                  15    1             NA                  HP        NA
AU41  IO_L22P_T3_A17_15             3                  15    1             NA                  HP        NA
AV41  IO_L22N_T3_A16_15             3                  15    1             NA                  HP        NA
BA41  IO_L23P_T3_FOE_B_15           3                  15    1             NA                  HP        NA
BB41  IO_L23N_T3_FWE_B_15           3                  15    1             NA                  HP        NA
AW41  IO_L24P_T3_RS1_15             3                  15    1             NA                  HP        NA
AW42  IO_L24N_T3_RS0_15             3                  15    1             NA                  HP        NA
AU37  IO_25_VRP_15                  NA                 15    1             NA                  HP        NA
Y34   IO_0_VRN_16                   NA                 16    1             NA                  HP        NA
AF35  IO_L1P_T0_16                  0                  16    1             NA                  HP        NA
AF36  IO_L1N_T0_16                  0                  16    1             NA                  HP        NA
AE37  IO_L2P_T0_16                  0                  16    1             NA                  HP        NA
AF37  IO_L2N_T0_16                  0                  16    1             NA                  HP        NA
AF34  IO_L3P_T0_DQS_16              0                  16    1             NA                  HP        NA
AG34  IO_L3N_T0_DQS_16              0                  16    1             NA                  HP        NA
AD36  IO_L4P_T0_16                  0                  16    1             NA                  HP        NA
AD37  IO_L4N_T0_16                  0                  16    1             NA                  HP        NA
AC35  IO_L5P_T0_16                  0                  16    1             NA                  HP        NA
AC36  IO_L5N_T0_16                  0                  16    1             NA                  HP        NA
AG36  IO_L6P_T0_16                  0                  16    1             NA                  HP        NA
AH36  IO_L6N_T0_VREF_16             0                  16    1             NA                  HP        NA
Y37   IO_L7P_T1_16                  1                  16    1             NA                  HP        NA
AA37  IO_L7N_T1_16                  1                  16    1             NA                  HP        NA
Y35   IO_L8P_T1_16                  1                  16    1             NA                  HP        NA
AA36  IO_L8N_T1_16                  1                  16    1             NA                  HP        NA
AB36  IO_L9P_T1_DQS_16              1                  16    1             NA                  HP        NA
AB37  IO_L9N_T1_DQS_16              1                  16    1             NA                  HP        NA
AA34  IO_L10P_T1_16                 1                  16    1             NA                  HP        NA
AA35  IO_L10N_T1_16                 1                  16    1             NA                  HP        NA
AB31  IO_L11P_T1_SRCC_16            1                  16    1             NA                  HP        NA
AB32  IO_L11N_T1_SRCC_16            1                  16    1             NA                  HP        NA
AB33  IO_L12P_T1_MRCC_16            1                  16    1             NA                  HP        NA
AC33  IO_L12N_T1_MRCC_16            1                  16    1             NA                  HP        NA
AD32  IO_L13P_T2_MRCC_16            2                  16    1             NA                  HP        NA
AD33  IO_L13N_T2_MRCC_16            2                  16    1             NA                  HP        NA
AC34  IO_L14P_T2_SRCC_16            2                  16    1             NA                  HP        NA
AD35  IO_L14N_T2_SRCC_16            2                  16    1             NA                  HP        NA
AE32  IO_L15P_T2_DQS_16             2                  16    1             NA                  HP        NA
AE33  IO_L15N_T2_DQS_16             2                  16    1             NA                  HP        NA
AF31  IO_L16P_T2_16                 2                  16    1             NA                  HP        NA
AF32  IO_L16N_T2_16                 2                  16    1             NA                  HP        NA
AE34  IO_L17P_T2_16                 2                  16    1             NA                  HP        NA
AE35  IO_L17N_T2_16                 2                  16    1             NA                  HP        NA
AE29  IO_L18P_T2_16                 2                  16    1             NA                  HP        NA
AE30  IO_L18N_T2_16                 2                  16    1             NA                  HP        NA
Y32   IO_L19P_T3_16                 3                  16    1             NA                  HP        NA
Y33   IO_L19N_T3_VREF_16            3                  16    1             NA                  HP        NA
AC31  IO_L20P_T3_16                 3                  16    1             NA                  HP        NA
